date,route,origin,destination,price_google,price_skyscanner,airline,escales,depart,retour,booking_url
2026-03-31 15:54,Montreal -> Paris,YUL,CDG,943,,British Airways,1 escale(s),2026-04-30,2026-05-07,
2026-03-31 15:54,Montreal -> Cancun,YUL,CUN,543,,United,1 escale(s),2026-04-30,2026-05-07,
2026-03-31 15:54,Montreal -> Tokyo Narita,YUL,NRT,1530,,United,1 escale(s),2026-04-30,2026-05-07,
2026-03-31 15:55,Montreal -> Punta Cana,YUL,PUJ,641,,Air Canada,Direct,2026-04-30,2026-05-07,
2026-03-31 15:55,Montreal -> Tokyo Haneda,YUL,HND,1580,,United,1 escale(s),2026-04-30,2026-05-07,
2026-03-31 17:12,Montreal -> Paris,YUL,CDG,943,,British Airways,1 escale(s),2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-04-30+return+2026-05-07
2026-03-31 17:13,Montreal -> Cancun,YUL,CUN,529,,Air Transat,Direct,2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-04-30+return+2026-05-07
2026-03-31 17:13,Montreal -> Tokyo Narita,YUL,NRT,1529,,United,1 escale(s),2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-04-30+return+2026-05-07
2026-03-31 17:14,Montreal -> Punta Cana,YUL,PUJ,641,,Air Canada,Direct,2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-04-30+return+2026-05-07
2026-03-31 17:14,Montreal -> Tokyo Haneda,YUL,HND,1580,,United,1 escale(s),2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-04-30+return+2026-05-07
2026-03-31 17:15,Montreal -> Paris,YUL,CDG,943,,British Airways,1 escale(s),2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-04-30+return+2026-05-07
2026-03-31 17:16,Montreal -> Cancun,YUL,CUN,529,,Air Transat,Direct,2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-04-30+return+2026-05-07
2026-03-31 17:16,Montreal -> Tokyo Narita,YUL,NRT,1529,,United,1 escale(s),2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-04-30+return+2026-05-07
2026-03-31 17:16,Montreal -> Punta Cana,YUL,PUJ,641,,Air Canada,Direct,2026-04-30,2026-05-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-04-30+return+2026-05-07
